anyo;cut_comuna_anyocenso;cut_distrito;censo_total_poblacion
1982;201;1;4392
1982;201;2;5630
1982;201;3;28172
1982;201;4;15834
1982;201;5;11010
1982;201;6;5750
1982;201;7;19553
1982;201;8;14321
1982;201;9;5868
1982;201;10;7366
1982;201;11;7821
1982;201;12;14457
1982;201;13;190
1982;201;14;4706
1982;201;15;1205
1982;201;16;590
1982;201;17;105
1982;202;1;375
1982;202;2;32
1982;202;3;163
1982;202;4;147
1982;202;5;57
1982;205;1;1956
1982;205;2;179
1982;205;3;181
1982;205;4;235
1982;205;5;369
1982;205;6;148
1982;205;7;263
1982;205;8;16
1982;205;9;9
1982;206;1;387
1982;206;2;359
1982;206;3;273
1982;206;4;68
1982;210;1;4350
1982;210;2;8974
1982;210;3;11409
1982;210;4;20864
1982;210;5;33751
1982;210;6;5164
1982;210;7;12592
1982;210;8;13206
1982;210;9;381
1982;210;10;300
1982;211;1;504
1982;211;2;490
1982;211;3;525
1982;211;4;174
1982;211;5;36
1982;211;6;102
1982;211;7;327
1982;211;8;13
1982;212;1;1488
1982;213;1;1126
1982;213;2;330
1982;213;3;5
1982;213;4;38
1982;214;1;1520
1982;214;2;132
1982;214;3;134
1982;214;4;10
1982;215;1;3395
1982;215;2;497
1982;215;3;799
1982;215;5;157
1982;215;6;27
1982;215;7;137
1982;220;1;2600
1982;220;2;4186
1982;220;3;11588
1982;220;4;7
1982;220;5;147
1982;220;6;3674
1982;221;1;217
1982;221;2;8
1982;221;3;20
1982;221;4;7652
1982;221;5;5
1982;221;6;8120
1982;225;1;83279
1982;225;2;16925
1982;225;3;83
1982;225;4;114
1982;226;1;598
1982;226;2;56
1982;227;1;1379
1982;227;2;636
1982;227;3;563
1982;230;1;10827
1982;230;2;26434
1982;230;3;25365
1982;230;4;36137
1982;230;5;27933
1982;230;6;9483
1982;230;7;18405
1982;230;8;10012
1982;230;9;20620
1982;230;10;427
1982;230;11;565
1982;230;12;9
1982;230;13;124
1982;231;1;3832
1982;231;2;585
1982;232;1;314
1982;232;3;456
1982;232;4;12
1982;233;1;2914
1982;233;2;2400
1982;233;3;2559
1982;233;4;244
1982;233;5;20
1982;233;6;62
1982;233;7;58
1982;233;8;48
1982;235;1;11899
1982;235;2;1054
1982;235;3;47
1982;236;1;7216
1982;236;2;13406
1982;236;3;4901
1982;236;4;678
1982;240;1;1751
1982;240;2;2090
1982;240;3;2333
1982;240;4;3408
1982;240;5;2988
1982;240;6;31741
1982;240;7;8741
1982;240;8;3205
1982;240;9;3156
1982;240;10;74
1982;240;11;4638
1982;240;12;405
1982;240;13;299
1982;240;14;31
1982;240;15;25
1982;240;16;96
1982;240;17;599
1982;240;18;117
1982;240;19;150
1982;240;20;39
1982;240;21;5726
1982;240;22;155
1982;241;1;4356
1982;241;2;139
1982;241;3;63
1982;242;1;5967
1982;242;2;72
1982;242;3;220
1982;242;4;344
1982;242;5;575
1982;242;6;240
1982;242;7;132
1982;245;1;5400
1982;245;2;7054
1982;245;3;12402
1982;245;4;7051
1982;245;5;7733
1982;245;6;145
1982;245;7;40
1982;245;8;1268
1982;245;9;465
1982;245;10;36
1982;245;11;37
1982;245;12;749
1982;245;13;294
1982;245;14;8
1982;245;15;137
1982;246;1;36
1982;246;2;4515
1982;246;3;72
1982;246;4;485
1982;247;1;6791
1982;247;2;224
1982;248;1;844
1982;248;2;498
1982;248;3;1257
1982;248;4;662
1982;248;5;484
1982;248;6;153
1982;248;7;447
1982;248;8;199
1982;248;9;211
1982;248;10;376
1982;248;11;149
1982;248;12;109
1982;250;1;4695
1982;250;2;20105
1982;250;3;4116
1982;250;4;5706
1982;250;5;26277
1982;250;6;977
1982;250;7;989
1982;250;8;1355
1982;250;9;1629
1982;250;10;1646
1982;250;11;142
1982;250;12;294
1982;250;13;1138
1982;250;14;26111
1982;251;1;856
1982;251;2;665
1982;251;3;113
1982;251;4;427
1982;251;5;368
1982;251;6;78
1982;251;7;613
1982;251;8;345
1982;251;9;183
1982;252;1;7537
1982;252;2;17130
1982;252;3;13032
1982;252;4;5666
1982;252;5;2144
1982;252;6;19561
1982;252;7;1814
1982;252;8;2031
1982;252;9;18117
1982;252;10;351
1982;252;11;603
1982;252;12;233
1982;252;13;126
1982;252;14;399
1982;252;15;2517
1982;252;16;736
1982;253;1;9136
1982;253;2;66
1982;253;3;357
1982;253;4;245
1982;254;1;3125
1982;254;2;3685
1982;254;3;1897
1982;254;4;586
1982;254;5;2192
1982;254;6;2064
1982;254;7;398
1982;254;8;667
1982;254;9;244
1982;254;10;1201
1982;254;11;455
1982;254;12;920
1982;254;13;453
1982;254;14;179
1982;254;15;1374
1982;255;1;865
1982;255;2;405
1982;255;3;320
1982;255;4;117
1982;255;5;442
1982;255;6;885
1982;255;7;687
1982;255;8;213
1982;260;1;17836
1982;260;2;9409
1982;260;3;15778
1982;260;4;3944
1982;260;5;2231
1982;260;6;760
1982;260;7;342
1982;260;8;1081
1982;260;9;520
1982;260;10;115
1982;260;11;112
1982;260;12;258
1982;260;13;394
1982;260;14;1472
1982;260;15;911
1982;260;16;3416
1982;260;17;280
1982;260;18;1085
1982;260;19;768
1982;260;20;264
1982;260;21;1692
1982;260;22;639
1982;260;23;690
1982;260;24;286
1982;260;25;36
1982;260;26;2709
1982;260;27;1332
1982;260;28;521
1982;260;29;830
1982;260;30;810
1982;260;31;649
1982;260;32;268
1982;260;33;839
1982;261;1;442
1982;261;2;71
1982;261;3;1119
1982;261;4;1267
1982;261;5;611
1982;261;6;773
1982;261;7;507
1982;261;8;345
1982;262;1;3173
1982;262;2;935
1982;262;3;436
1982;262;4;675
1982;262;5;1367
1982;262;6;934
1982;262;7;831
1982;262;8;909
1982;262;9;813
1982;262;10;1768
1982;262;11;1492
1982;262;12;549
1982;262;13;372
1982;262;14;785
1982;262;15;569
1982;262;16;398
1982;262;17;4354
1982;262;18;761
1982;262;19;1226
1982;262;20;265
1982;262;21;2672
1982;263;1;2774
1982;263;2;3305
1982;263;3;403
1982;263;4;1056
1982;263;5;543
1982;263;6;680
1982;263;7;2082
1982;263;8;508
1982;263;9;304
1982;263;10;854
1982;263;11;1899
1982;263;12;812
1982;263;13;327
1982;264;1;4735
1982;264;2;288
1982;264;3;178
1982;264;5;1156
1982;264;6;521
1982;264;7;1071
1982;270;1;7141
1982;270;2;8923
1982;270;3;217
1982;270;4;368
1982;270;5;1370
1982;270;6;2743
1982;270;7;1439
1982;270;8;1990
1982;270;9;921
1982;270;10;472
1982;271;1;7369
1982;271;2;676
1982;271;3;293
1982;271;4;1205
1982;271;5;400
1982;271;6;589
1982;271;7;486
1982;271;8;333
1982;271;9;1042
1982;271;10;1187
1982;271;11;1221
1982;271;12;618
1982;271;13;1880
1982;271;14;1933
1982;271;15;957
1982;271;16;739
1982;272;1;6686
1982;272;2;393
1982;272;3;1218
1982;272;4;512
1982;272;5;482
1982;272;6;1107
1982;272;7;2119
1982;272;8;29
1982;273;1;549
1982;273;2;83
1982;273;3;913
1982;273;4;896
1982;273;5;591
1982;273;6;798
1982;273;7;1162
1982;273;8;486
1982;273;9;685
1982;273;10;581
1982;273;11;1427
1982;273;12;1510
1982;273;13;720
1982;273;14;302
1982;275;1;4129
1982;275;2;6225
1982;275;3;355
1982;275;4;1049
1982;275;5;2134
1982;275;6;1015
1982;275;7;1180
1982;275;8;595
1982;275;9;481
1982;275;10;178
1982;275;11;401
1982;275;12;1434
1982;275;13;2552
1982;276;1;187
1982;276;2;843
1982;276;3;476
1982;276;4;1917
1982;276;5;1134
1982;276;6;1384
1982;276;7;1032
1982;276;8;1172
1982;276;9;824
1982;277;1;840
1982;277;2;125
1982;277;3;424
1982;277;4;115
1982;277;5;8794
1982;277;6;487
1982;277;7;674
1982;277;8;272
1982;277;9;901
1982;277;10;795
1982;277;11;285
1982;277;12;173
1982;277;13;288
1982;277;14;108
1982;278;1;1157
1982;278;2;764
1982;278;3;331
1982;278;4;1240
1982;278;5;326
1982;279;1;2086
1982;279;2;1307
1982;285;1;10245
1982;285;2;2928
1982;285;3;9362
1982;285;4;1098
1982;285;5;3267
1982;285;6;13843
1982;286;1;2267
1982;286;2;1556
1982;286;3;330
1982;286;4;519
1982;286;5;229
1982;286;6;1040
1982;286;7;1392
1982;286;8;1557
1982;286;9;2115
1982;287;1;2626
1982;287;2;1828
1982;287;3;1482
1982;287;4;1689
1982;287;5;1677
1982;288;1;1178
1982;288;2;776
1982;288;3;501
1982;288;4;2452
1982;290;1;7332
1982;290;2;11592
1982;290;3;14451
1982;290;4;781
1982;290;5;2582
1982;290;6;2250
1982;290;7;2059
1982;290;8;1441
1982;290;9;467
1982;290;10;1775
1982;291;1;5281
1982;291;2;1457
1982;291;3;681
1982;291;4;1745
1982;291;5;32
1982;291;6;677
1982;291;7;2042
1982;292;1;3097
1982;292;2;1235
1982;292;3;1127
1982;292;4;1451
1982;292;5;2370
1982;292;6;440
1982;293;1;821
1982;293;2;927
1982;293;3;2062
1982;293;4;977
1982;294;1;11167
1982;294;2;3285
1982;294;3;2554
1982;294;4;845
1982;295;1;4970
1982;295;2;1589
1982;295;3;711
1982;295;4;926
1982;295;5;1319
1982;295;6;685
1982;300;1;4792
1982;300;2;14578
1982;300;3;7646
1982;300;4;3104
1982;300;5;9714
1982;300;6;3767
1982;300;7;3812
1982;300;8;2106
1982;300;9;349
1982;300;10;743
1982;300;11;2184
1982;300;12;6469
1982;301;1;1735
1982;301;2;281
1982;301;3;2735
1982;301;4;1887
1982;301;5;3142
1982;302;1;25325
1982;302;2;6774
1982;302;3;8183
1982;302;4;878
1982;303;1;3278
