anyo;cut_region;region;cut_provincia;provincia;cut_comuna_anyocenso;cut_comuna;comuna;cut_distrito;distrito;censo_viviendas_totales;censo_viviendas_ocupadas;censo_viviendas_desocupadas;censo_viviendas_urbanas;censo_viviendas_rurales;censo_viviendas_tipo_casa;censo_viviendas_tipo_departamento;censo_viviendas_tipo_otros;censo_viviendas_agua_por_red_publica;censo_viviendas_agua_por_pozo_o_noria;censo_viviendas_agua_por_camion;censo_viviendas_agua_por_rio;censo_viviendas_agua_por_otro;censo_viviendas_agua_no_se_puede_determinar;censo_viviendas_tratamiento_aguas_por_red_publica_alcantarillado;censo_viviendas_tratamiento_aguas_por_pozo_fosa_septica;censo_viviendas_tratamiento_aguas_por_red_publica_alcantarillado_o_fosa_septica;censo_viviendas_tratamiento_aguas_por_pozo_negro;censo_viviendas_tratamiento_aguas_por_otro;censo_viviendas_tratamiento_aguas_no_tiene;censo_viviendas_tratamiento_aguas_no_se_puede_determinar;censo_viviendas_electricidad_por_red_publica;censo_viviendas_electricidad_por_generador;censo_viviendas_electricidad_por_ernc;censo_viviendas_electricidad_por_otro;censo_viviendas_electricidad_no_tiene;censo_viviendas_electricidad_no_se_puede_determinar;censo_total_poblacion;num_distrito
1982;15;De Arica y Parinacota;151;Arica  ;201;15101;Arica;151011;;1205;1072;133;1205;0;796;296;113;982;3;;0;1.0;219.0;;;940.0;28.0;3.0;;;976.0;;;;10.0;219.0;4392;1
1982;15;De Arica y Parinacota;151;Arica  ;201;15101;Arica;151012;;1439;1370;69;1439;0;457;825;157;1220;1;;0;2.0;216.0;;;1173.0;33.0;0.0;;;1199.0;;;;24.0;216.0;5630;2
1982;15;De Arica y Parinacota;151;Arica  ;201;15101;Arica;151013;;6459;6145;314;6459;0;3613;1685;1161;5907;39;;2;48.0;463.0;;;4660.0;1247.0;17.0;;;5899.0;;;;97.0;463.0;28172;3
1982;15;De Arica y Parinacota;151;Arica  ;201;15101;Arica;151014;;3226;3179;47;3226;0;2711;101;414;3135;2;;2;2.0;85.0;;;2990.0;59.0;5.0;;;3098.0;;;;43.0;85.0;15834;4
1982;15;De Arica y Parinacota;151;Arica  ;201;15101;Arica;151015;;1980;1955;25;1980;0;1448;2;530;1924;8;;0;4.0;44.0;;;1773.0;126.0;0.0;;;1867.0;;;;69.0;44.0;11010;5
1982;15;De Arica y Parinacota;151;Arica  ;201;15101;Arica;151016;;1473;1379;94;0;1473;1030;0;443;226;440;;562;125.0;120.0;;;219.0;931.0;32.0;;;937.0;;;;416.0;120.0;5750;6
1982;15;De Arica y Parinacota;151;Arica  ;201;15101;Arica;151017;;3612;3550;62;3612;0;2560;59;993;3496;8;;1;16.0;91.0;;;3013.0;475.0;4.0;;;3437.0;;;;84.0;91.0;19553;7
1982;15;De Arica y Parinacota;151;Arica  ;201;15101;Arica;151018;;2953;2866;87;2953;0;2486;44;423;2760;2;;2;21.0;168.0;;;2559.0;170.0;20.0;;;2713.0;;;;72.0;168.0;14321;8
1982;15;De Arica y Parinacota;151;Arica  ;201;15101;Arica;151019;;1147;1132;15;1147;0;981;31;135;1112;0;;0;5.0;30.0;;;1072.0;16.0;0.0;;;1092.0;;;;25.0;30.0;5868;9
1982;15;De Arica y Parinacota;151;Arica  ;201;15101;Arica;151020;;1411;1385;26;1411;0;1108;106;197;1335;1;;1;11.0;63.0;;;1273.0;48.0;6.0;;;1327.0;;;;21.0;63.0;7366;10
1982;15;De Arica y Parinacota;151;Arica  ;201;15101;Arica;151021;;1580;1542;38;1580;0;1475;62;43;1510;0;;0;2.0;68.0;;;1457.0;18.0;0.0;;;1507.0;;;;5.0;68.0;7821;11
1982;15;De Arica y Parinacota;151;Arica  ;201;15101;Arica;151022;;2976;2927;49;2976;0;1793;257;926;2723;38;;0;123.0;92.0;;;1739.0;1106.0;15.0;;;2814.0;;;;70.0;92.0;14457;12
